Date,Weekday,Prev Close,Open,High,Low,Close,Volume,Mtm,f1,y,,,,,
12/14/16,3,11.73,11.59,11.73,11.3,11.32,40564000,1,,,7.940006,,,,
12/7/16,3,11.29,11.16,11.26,11.07,11.09,42151800,1,0.23,1,7.940006,0.23,-25.34,,-0.391074933
11/30/16,3,10.06,10.06,11.1,10.06,10.93,109750300,-1,-0.16,1,7.710006,0.16,-25.57,,
11/23/16,3,10.63,10.6,10.77,10.56,10.67,25907100,-1,-0.26,1,7.870006,0.26,-25.73,,
11/16/16,3,10.34,10.28,10.46,10.15,10.23,41035900,1,0.44,-1,8.130006,0.44,-25.99,,
11/9/16,3,10.1,10.14,10.37,10.04,10.28,39671000,-1,0.05,-1,7.690006,-0.05,-26.43,,
11/2/16,3,10.57,10.35,10.46,10.15,10.28,49285000,1,0,-1,7.640006,0,-26.38,,
10/26/16,3,11.24,11.07,11.31,11.03,11.09,57440200,1,-0.81,-1,7.640006,-0.81,-26.38,,
10/19/16,3,11.45,11.57,11.79,11.55,11.66,46880900,1,-0.57,1,8.450006,-0.57,-25.57,,
10/12/16,3,11.58,11.46,11.49,11.36,11.43,45737900,-1,-0.23,1,9.020006,0.23,-25,,
10/5/16,3,11.09,11.33,11.4,11.23,11.35,45925300,-1,-0.08,1,9.250006,0.08,-25.23,,
9/28/16,3,10.15,10.3,10.82,10.12,10.65,93160700,-1,-0.7,1,9.330006,0.7,-25.31,,
9/21/16,3,10.07,10.25,10.41,10.21,10.4,43920000,-1,-0.25,1,10.030006,0.25,-26.01,,
9/14/16,3,10.37,10.27,10.43,10.04,10.09,53454200,1,0.31,-1,10.280006,0.31,-26.26,,
9/7/16,3,10.39,10.4,10.54,10.31,10.52,31322200,-1,0.43,1,9.970006,-0.43,-26.57,,
8/31/16,3,10.73,10.62,10.66,10.29,10.36,30406800,1,0.16,-1,9.540006,0.16,-26.14,,
8/24/16,3,11.09,10.94,11.03,10.74,10.82,29656300,1,-0.46,-1,9.380006,-0.46,-26.3,,
8/17/16,3,10.92,10.88,11.02,10.76,10.99,33277200,-1,0.17,1,9.840006,-0.17,-25.84,,
8/10/16,3,10.07,10.1,10.21,9.75,9.77,30805100,1,1.22,1,9.670006,1.22,-25.67,,
8/3/16,3,9.33,9.35,9.69,9.23,9.69,36429700,-1,-0.08,-1,8.450006,0.08,-26.89,,
7/27/16,3,10.08,10.1,10.17,9.81,9.9,28954700,1,-0.21,-1,8.530006,-0.21,-26.97,,
7/20/16,3,10.7,10.55,10.85,10.51,10.73,26551900,-1,0.83,-1,8.740006,-0.83,-26.76,,
7/13/16,3,11.19,11.07,11.15,10.65,10.75,34345300,1,-0.02,-1,7.910006,-0.02,-25.93,,
7/6/16,3,11.18,11.09,11.41,11.01,11.33,17436200,-1,0.58,-1,7.930006,-0.58,-25.91,,
6/29/16,3,11.47,11.55,11.96,11.5,11.79,24821700,-1,0.46,1,7.350006,-0.46,-25.33,,
6/22/16,3,11.89,11.99,12.04,11.58,11.74,26056700,1,0.05,1,6.890006,0.05,-24.87,,
6/15/16,3,11.73,11.57,11.78,11.43,11.47,23350400,1,0.27,-1,6.840006,0.27,-24.92,,
6/8/16,3,12.22,12.34,12.45,12.28,12.43,26500300,-1,0.96,1,6.570006,-0.96,-25.19,,
6/1/16,3,11.87,11.62,11.93,11.56,11.93,25553100,-1,-0.5,-1,5.610006,0.5,-24.23,,
5/25/16,3,11.82,11.92,12.05,11.79,12.03,24984100,-1,0.1,1,6.110006,-0.1,-24.73,,
5/18/16,3,11.92,11.85,12,11.7,11.7,29425500,1,0.33,1,6.010006,0.33,-24.63,,
5/11/16,3,10.99,10.91,11.42,10.85,11.34,29338200,-1,-0.36,1,5.680006,0.36,-24.96,,
5/4/16,3,10.74,10.93,11.04,10.63,10.79,24287300,1,0.55,-1,6.040006,0.55,-25.32,,
4/27/16,3,10.81,11.03,11.22,10.76,11.14,37920900,-1,0.35,1,5.490006,-0.35,-25.87,,
4/20/16,3,10.44,10.24,10.88,10.2,10.76,42501200,-1,-0.38,1,5.140006,0.38,-25.52,,
4/13/16,3,10.64,10.59,10.74,10.48,10.51,42934000,1,0.25,1,5.520006,0.25,-25.9,,
4/6/16,3,9.13,9.38,9.63,9.32,9.6,45696600,-1,-0.91,-1,5.270006,0.91,-26.15,,
3/30/16,3,9.8,9.99,10.13,9.7,9.73,36954600,1,-0.13,-1,6.180006,-0.13,-27.06,,
3/23/16,3,10.54,10.33,10.37,10.08,10.11,40194200,1,-0.38,-1,6.310006,-0.38,-26.93,,
3/16/16,3,9.7,9.91,10.2,9.91,10.18,38311700,-1,0.07,1,6.690006,-0.07,-26.55,,
3/9/16,3,9.65,9.87,10.21,9.85,10.15,43985300,-1,-0.03,1,6.620006,0.03,-26.48,,
3/2/16,3,9.15,9.01,9.36,8.94,9.3,49507900,-1,-0.85,1,6.650006,0.85,-26.51,,
2/24/16,3,8.48,8.19,8.63,8.14,8.59,48189900,-1,-0.71,-1,7.500006,0.71,-27.36,,
2/17/16,3,8.31,8.43,8.9,8.39,8.78,60273400,-1,0.19,1,8.210006,-0.19,-28.07,,
2/10/16,3,8.18,7.97,8.4,7.89,7.96,64182800,1,0.82,-1,8.020006,0.82,-27.88,,
2/3/16,3,8.57,8.84,9.35,8.54,9.34,72246300,-1,1.38,1,7.200006,-1.38,-28.7,,
1/27/16,3,8.97,8.92,9.43,8.79,9.18,71429700,-1,-0.16,1,5.820006,0.16,-27.32,,
1/20/16,3,8.49,8.34,8.37,7.92,8.24,83215600,-1,-0.94,-1,5.980006,0.94,-27.48,,
1/13/16,3,9.17,9.3,9.39,8.93,9.09,100555700,1,-0.85,-1,6.920006,-0.85,-28.42,,
1/6/16,3,10.66,10.3,10.47,10.06,10.11,73087100,1,-1.02,-1,7.770006,-1.02,-27.57,,
12/30/15,3,11.26,10.96,11,10.84,10.93,24796400,-1,0.82,-1,8.790006,-0.82,-26.55,,
12/23/15,3,10.77,11.06,11.29,11,11.26,39354100,-1,0.33,1,7.970006,-0.33,-25.73,,
12/16/15,3,11.4,11.23,11.34,10.88,10.99,36387300,1,0.27,-1,7.640006,0.27,-25.4,,
12/9/15,3,11.68,11.77,12.06,11.43,11.56,38871100,1,-0.57,-1,7.370006,-0.57,-25.67,,
12/2/15,3,12.95,12.77,13.03,12.38,12.48,52543800,1,-0.92,-1,7.940006,-0.92,-25.1,,
11/25/15,3,13.32,13.11,13.42,12.96,13.39,27117000,-1,0.91,1,8.860006,-0.91,-24.18,,
11/18/15,3,13.01,13.14,13.2,12.83,13.05,24754800,-1,-0.34,-1,7.950006,0.34,-23.27,,
11/11/15,3,14.09,14.06,14.09,13.64,13.76,24154300,1,-0.71,-1,8.290006,-0.71,-23.61,,
11/4/15,3,15.28,15.2,15.28,14.75,14.85,25783000,1,-1.09,1,9.000006,-1.09,-22.9,,
10/28/15,3,13.82,13.97,14.7,13.91,14.69,48935900,-1,-0.16,1,10.090006,0.16,-21.81,,
10/21/15,3,14.73,14.5,14.67,14.34,14.43,26555000,1,0.26,-1,10.250006,0.26,-21.97,,
10/14/15,3,15.06,14.98,15.16,14.85,15.05,18763700,-1,0.62,-1,9.990006,-0.62,-22.23,,
10/7/15,3,15.74,15.93,16.049999,15.42,15.57,40832800,1,-0.52,1,9.370006,-0.52,-21.61,,
9/30/15,3,14.61,14.55,14.82,14.46,14.68,24486700,-1,-0.89,1,9.890006,0.89,-21.09,,
9/23/15,3,14.92,15.08,15.24,14.35,14.44,36964200,1,0.24,-1,10.780006,0.24,-21.98,,
9/16/15,3,14.57,14.91,15.43,14.81,15.36,44264700,-1,0.92,1,10.540006,-0.92,-22.22,,
9/9/15,3,15.02,14.99,15.06,14.45,14.52,21851300,1,0.84,-1,9.620006,0.84,-21.3,,
9/2/15,3,14.81,15.11,15.32,14.16,15.09,59080600,-1,0.57,1,8.780006,-0.57,-22.14,,
8/26/15,3,12.73,12.85,13,12.62,12.77,32439600,1,2.32,-1,8.210006,2.32,-21.57,,
8/19/15,3,14.05,13.98,14.03,13.41,13.43,35899200,1,-0.66,-1,5.890006,-0.66,-23.89,,
8/12/15,3,14.48,14.52,14.58,14.28,14.44,18405400,-1,1.01,-1,6.550006,-1.01,-23.23,,
8/5/15,3,15.22,15.31,15.52,14.9,15.03,26607600,1,-0.59,-1,5.540006,-0.59,-22.22,,
7/29/15,3,15.85,15.82,16.450001,15.8,16.24,34719700,-1,1.21,-1,6.130006,-1.21,-21.63,,
7/22/15,3,16.91,16.66,16.809999,16.299999,16.34,27095700,1,-0.1,-1,4.920006,-0.1,-20.42,,
7/15/15,3,17.719999,17.5,17.700001,17.15,17.23,28590500,1,-0.89,-1,5.020006,-0.89,-20.32,,
7/8/15,3,17.76,17.620001,17.700001,17.07,17.379999,23668700,1,-0.149999,-1,5.910006,-0.149999,-19.43,,
7/1/15,3,19.879999,19.540001,19.58,19,19.1,25025900,1,-1.720001,-1,6.060005,-1.720001,-19.280001,,
6/24/15,3,20.469999,20.370001,20.620001,20.040001,20.200001,21365500,1,-1.100001,-1,7.780006,-1.100001,-17.56,,
6/17/15,3,20.26,20.620001,20.66,19.9,20.209999,19734800,1,-0.009998,-1,8.880007,-0.009998,-16.459999,,
6/10/15,3,20.209999,20.790001,20.799999,20.43,20.639999,22667900,-1,0.43,1,8.890005,-0.43,-16.450001,,
6/3/15,3,20.68,20.49,20.74,20.049999,20.17,16725400,1,0.469999,1,8.460005,0.469999,-16.020001,,
5/27/15,3,19.690001,19.459999,19.709999,19.389999,19.48,19496800,1,0.69,-1,7.990006,0.69,-16.49,,
