Date,Weekday,Prev Close,Open,High,Low,Close,Volume,,do,dh,dl,dc,o,h,l,c,,p,0.001,action
42718,3,11.73,11.59,11.73,11.3,11.32,40564000,,,,,,,,,,,,,
42711,3,11.29,11.16,11.26,11.07,11.09,42151800,0.64,-0.14,0.14,-0.43,0.02,-0.152051325,0.983265235,-1.327914905,0.496700995,3.010616234,0.998696409,FALSE,0
42704,3,10.06,10.06,11.1,10.06,10.93,109750300,0.36,-0.13,0.1,-0.19,0.02,-0.599625351,1.124297533,-1.049344365,0.524672182,3.073079925,0.998940691,FALSE,0
42697,3,10.63,10.6,10.77,10.56,10.67,25907100,-0.61,0,1.04,-1.04,0.87,-0.227965422,0.862076136,-1.31800698,0.683896266,-0.86731672,0.192884249,FALSE,0
42690,3,10.34,10.28,10.46,10.15,10.23,41035900,0.4,-0.03,0.17,-0.21,0.11,-0.236801111,0.947204446,-1.302406113,0.592002778,2.308810836,0.98952296,FALSE,0
42683,3,10.1,10.14,10.37,10.04,10.28,39671000,0.06,-0.06,0.18,-0.31,0.08,-0.152937649,0.976448064,-1.329381099,0.505870684,0.411755208,0.659740572,FALSE,0
42676,3,10.57,10.35,10.46,10.15,10.28,49285000,-0.18,0.04,0.23,-0.33,0.24,-0.018769072,0.694455665,-1.407680402,0.731993809,-0.844608241,0.199164803,FALSE,0
42669,3,11.24,11.07,11.31,11.03,11.09,57440200,-0.52,-0.22,0.11,-0.31,0.13,-0.654264455,0.809513648,-1.053476665,0.898227472,-1.984971822,0.023573803,FALSE,0
42662,3,11.45,11.57,11.79,11.55,11.66,46880900,-0.42,-0.17,0.24,-0.28,0.06,-0.568655562,1.190957875,-1.040746972,0.418444659,-1.641590584,0.05033744,FALSE,0
42655,3,11.58,11.46,11.49,11.36,11.43,45737900,0.02,0.12,0.22,-0.24,0.11,0.335444709,0.832399834,-1.45359374,0.285749197,-0.161510416,0.435845704,FALSE,0
42648,3,11.09,11.33,11.4,11.23,11.35,45925300,0.23,-0.12,0.03,-0.13,0.07,-0.805437242,0.658994107,-0.903065998,1.049509133,2.611569238,0.995493613,FALSE,0
42641,3,10.15,10.3,10.82,10.12,10.65,93160700,0.44,0.24,0.07,-0.17,0.12,1.016594593,0.02904556,-1.365141311,0.319501158,2.178416985,0.985312497,FALSE,0
